link,title,variation
https://shopee.vn/Len-milk-cotton-LOANG-50g-full-bảng-màu-i.1191413571.24414471151?sp_atk=35981312-3d92-4d63-bdc3-48a8f7e6e55a&xptdk=35981312-3d92-4d63-bdc3-48a8f7e6e55a,Len milk cotton LOANG 50g  full bảng màu,09- Loang trắng xanh
https://shopee.vn/Len-sợi-Combed-Milk-Cotton-50g-sợi-không-xù-i.48642170.21194667037?sp_atk=ddc042f4-93bf-4db9-a1fe-4ad11b3f9384&xptdk=ddc042f4-93bf-4db9-a1fe-4ad11b3f9384,Yêu thíchLen sợi Combed Milk Cotton 50g sợi không xù,màu 12
https://shopee.vn/Len-milk-cotton-50g-(mã-41~77)-i.42385834.7739865271?sp_atk=1b7d754d-59fa-4cc6-a52d-70731b960e6a&xptdk=1b7d754d-59fa-4cc6-a52d-70731b960e6a,Yêu thíchLen milk cotton 50g (mã 41~77),66 - vàng chanh
https://shopee.vn/LEN-MILK-COTTON-50GR-Bảng-1-i.319884063.11512074224?sp_atk=19d5acd3-3bed-4ef7-afdc-b09698a1e02c&xptdk=19d5acd3-3bed-4ef7-afdc-b09698a1e02c,LEN MILK COTTON 50GR Bảng 1,13 vàng chanh nhạt
https://shopee.vn/Combo-100-cuộn-len-Milk-Cotton-50g-i.1051116774.22154713313?sp_atk=1193bec1-fae2-45f4-b585-0f6b9cd40c1d&xptdk=1193bec1-fae2-45f4-b585-0f6b9cd40c1d,Combo 100 cuộn len Milk Cotton 50g,no_variation
https://shopee.vn/Len-Milk-Cotton-màu-51-86-MAC-ĐEN-50-gr-mềm-mịn-loại-1-sản-phẩm-ưa-thích-cho-người-mới-tập-móc-và-người-chuyên.-i.120788968.23361251026?sp_atk=4c4b6671-2bc8-48c8-8dbd-ce4aa211bae2&xptdk=4c4b6671-2bc8-48c8-8dbd-ce4aa211bae2,"Len Milk Cotton, màu 51 - 86  MAC ĐEN 50 gr , mềm mịn loại 1, sản phẩm ưa thích cho người mới tập móc và người chuyên.",52
https://shopee.vn/Len-Milk-Cotton-50Gram-Mác-Đen-Cỡ-Sợi-2mm-(Mã-Màu-01-83)-i.1039005348.22957763321?sp_atk=14f7d2cd-94c6-4c7a-bf23-75693eba6ef9&xptdk=14f7d2cd-94c6-4c7a-bf23-75693eba6ef9,Len Milk Cotton 50Gram Mác Đen Cỡ Sợi 2mm (Mã Màu 01 - 83),22
https://shopee.vn/Len-Milk-Cotton-50gr-(từ-mã-01-đến-50)-i.965845141.23265499251?sp_atk=e5ee4961-5d6c-4566-8637-9947f96c46f7&xptdk=e5ee4961-5d6c-4566-8637-9947f96c46f7,Yêu thíchLen Milk Cotton 50gr (từ mã 01 đến 50),68 trắng tinh
https://shopee.vn/Len-Milk-Cotton-50g-Cuộn-Len-Sợi-Cotton-(Mã-màu-51-đến-86)-i.187002007.17797716213?sp_atk=60492319-fefb-4d8f-8328-24f241dc5663&xptdk=60492319-fefb-4d8f-8328-24f241dc5663,Yêu thích+Len Milk Cotton 50g - Cuộn Len Sợi Cotton (Mã màu 51 đến 86),63 - Hồng cánh sen
https://shopee.vn/Len-Milk-Cotton-50g-len-milk-cotton-Full-86-màu-(HCM)-quà-8-3-i.23758035.22258356768?sp_atk=499b9c4e-0d2c-49ee-9bde-1439a917e084&xptdk=499b9c4e-0d2c-49ee-9bde-1439a917e084,"Yêu thíchLen Milk Cotton 50g, len milk cotton, Full 86 màu (HCM) quà 8/3",49 hồng nhạt
https://shopee.vn/Len-milk-cotton-50g-len-đan-móc-khăn-áo-thú-bông-túi-xách-đồ-trang-trí-(Mã-01-đến-50)-i.42271520.3871453753?sp_atk=fef3ddbf-0dfa-409d-b2dc-992b8f8ed400&xptdk=fef3ddbf-0dfa-409d-b2dc-992b8f8ed400,"Yêu thích+Len milk cotton 50g - len đan móc khăn, áo, thú bông, túi xách, đồ trang trí (Mã 01 đến 50)",68 trắng tinh
https://shopee.vn/Len-Milk-cotton-Bò-50g-(HCM)-len-milk-cotton-gia-re-i.23758035.24107436922?sp_atk=b47161f6-5aa6-48d8-a0aa-9106ca77898c&xptdk=b47161f6-5aa6-48d8-a0aa-9106ca77898c,Yêu thíchLen Milk cotton Bò 50g (HCM) len milk cotton gia re,29 xanh dương nhat
https://shopee.vn/Len-Cotton-Love-Cuộn-100gr-Gồm-67-Màu-Cuộn-Len-Milk-Cotton-Valentine-Sợi-To-Dụng-Cụ-Móc-Len-Cho-Người-Mới-Bắt-Đầu-i.1115753.8388819398?sp_atk=d6aecac4-2370-40c4-bf5e-7cfd0009a0ee&xptdk=d6aecac4-2370-40c4-bf5e-7cfd0009a0ee,"Yêu thíchLen Cotton Love Cuộn 100gr Gồm 67 Màu , Cuộn Len Milk Cotton Valentine Sợi To Dụng Cụ Móc Len Cho Người Mới Bắt Đầu",31-hồng đậm
https://shopee.vn/LEN-MILK-COTTON-MÁC-ĐEN-50g-(mã-51-86)-i.494160426.22160404447?sp_atk=ec828bb5-6797-4cc0-9755-6509a3401e39&xptdk=ec828bb5-6797-4cc0-9755-6509a3401e39,LEN MILK COTTON MÁC ĐEN 50g (mã 51 - 86),63 - Hồng cánh sen
https://shopee.vn/LEN-sợi-MILK-baby-cotton-50-gram-bảng-62-Màu-i.33594225.21941290073?sp_atk=2af01913-451d-449a-b29a-e4387194f2d9&xptdk=2af01913-451d-449a-b29a-e4387194f2d9,Yêu thíchLEN sợi MILK baby cotton 50 gram bảng 62 Màu,set đánh dấu 2c
https://shopee.vn/Len-Milk-Cotton-Mianbao-loại-1-cuộn-40gr-i.48642170.20082869698?sp_atk=c7e839ca-d6b7-49b2-9546-5a2d83d91853&xptdk=c7e839ca-d6b7-49b2-9546-5a2d83d91853,Yêu thíchLen Milk Cotton Mianbao loại 1 cuộn 40gr,màu 22
https://shopee.vn/LEN-MILK-COTTON-50gram-len-sợi-86-màu-i.1151750786.25555535433?sp_atk=b023ba9a-45f9-4f6a-98d5-052a3b4e8aef&xptdk=b023ba9a-45f9-4f6a-98d5-052a3b4e8aef,"LEN MILK COTTON 50gram, len sợi 86 màu",41 xanh giáng sinh
https://shopee.vn/Len-Milk-Cotton-Mác-Đen-50g-Bảng-Màu-Trơn-(01-40)-Hàng-Chính-Hãng-i.26312225.23161187828?sp_atk=7768c5c0-f7e5-4a2e-adbe-da7202031cdd&xptdk=7768c5c0-f7e5-4a2e-adbe-da7202031cdd,Len Milk Cotton Mác Đen 50g - Bảng Màu Trơn (01-40) - Hàng Chính Hãng,Mã 22
https://shopee.vn/Len-Sợi-Milk-Cotton-50gr-Bảng-Màu-1-Len-Bông-Sữa-(Từ-Mã-1-49)-i.450505163.21763550445?sp_atk=a402f52a-2c7d-427a-a88c-a98f19440bb7&xptdk=a402f52a-2c7d-427a-a88c-a98f19440bb7,Yêu thíchLen Sợi Milk Cotton 50gr Bảng Màu 1 Len Bông Sữa (Từ Mã 1-49),02-hồng nhạt
https://shopee.vn/Len-Milk-Cotton-50g-Mã-51~77-i.104631747.1656569045?sp_atk=b4f06669-6394-4999-a685-f6190283e924&xptdk=b4f06669-6394-4999-a685-f6190283e924,Yêu thích+Len Milk Cotton 50g | Mã 51~77,52
https://shopee.vn/Len-milk-cotton-125g-loại-1-(-mã-50-81-)-i.17963308.21382594966?sp_atk=fb217b52-e9d3-4f3b-8da1-d1b546379544&xptdk=fb217b52-e9d3-4f3b-8da1-d1b546379544,Yêu thíchLen milk cotton 125g loại 1 ( mã 50-81 ),mã 52
https://shopee.vn/-Mã-50-88-Bảng-màu-mở-rộng-len-cuộn-milk-cotton-mác-đen-50gram-hàng-nhập-loại-1-giá-tốt-Xiaoxing's-Yarn-i.973896728.23936294733?sp_atk=b0681855-b050-41db-941b-479e51ca674a&xptdk=b0681855-b050-41db-941b-479e51ca674a,[Mã 50 - 88] Bảng màu mở rộng len cuộn milk cotton mác đen 50gram hàng nhập loại 1 giá tốt | Xiaoxing's Yarn,82 # Hồng neon
https://shopee.vn/len-milk-cotton-i.460452847.19382645910?sp_atk=53f96af9-8a21-45f7-96db-211b849df92b&xptdk=53f96af9-8a21-45f7-96db-211b849df92b,len milk cotton,02
https://shopee.vn/Len-Hàn-Nhí-len-milk-cotton-Hàn-quốc-cuộn-25g-bảng-màu-đầy-đủ-i.24616990.21691163938?sp_atk=70db1099-2e4b-44a8-8dbb-828a6e2055cc&xptdk=70db1099-2e4b-44a8-8dbb-828a6e2055cc,"Yêu thíchLen Hàn Nhí, len milk cotton Hàn quốc cuộn 25g - bảng màu đầy đủ",Màu 22
https://shopee.vn/len-milk-cotton-50g-(mã-01~50-)-i.718520860.19262092059?sp_atk=7cdec100-4176-44aa-b341-de07b3975bf5&xptdk=7cdec100-4176-44aa-b341-de07b3975bf5,len milk cotton 50g (mã 01~50 ),22
